Date;Open;High;Low;Close;Adj Close;Volume;Variation;Operation(1=BUY,0=NONE,-1=SELL)
03/06/2021;9179,799805;9189,400391;9086,599609;9142,400391;9142,400391;164216700;-0,417177374;0
04/06/2021;9144,5;9158,799805;9071,200195;9088,299805;9088,299805;131208100;-0,591754722;0
07/06/2021;9076,099609;9175,900391;9042;9163,599609;9163,599609;129664800;0,828535652;1
08/06/2021;9159,599609;9204,799805;9110,599609;9153,599609;9153,599609;144263700;-0,109127422;0
09/06/2021;9157,200195;9185;9128,799805;9156,099609;9156,099609;124744700;0,02731166;0
10/06/2021;9190,799805;9205,099609;9113,099609;9133,799805;9133,799805;154773800;-0,243551348;0
11/06/2021;9144;9211,799805;9131,099609;9205;9205;107059800;0,779524366;1
14/06/2021;9238,700195;9302,700195;9233;9281,099609;9281,099609;135889000;0,826720359;1
15/06/2021;9310,799805;9310,799805;9220,700195;9230,700195;9230,700195;119439700;-0,543032788;0
16/06/2021;9266,299805;9274,599609;9201;9202,200195;9202,200195;161804400;-0,308752309;0
17/06/2021;9178,799805;9272;9170,700195;9195,900391;9195,900391;203696100;-0,068459758;0
18/06/2021;9166,299805;9185,400391;8976,400391;9030,599609;9030,599609;452775400;-1,797548635;-1
21/06/2021;8970,099609;9063,200195;8906;9051,700195;9051,700195;167378300;0,233656533;0
22/06/2021;9073,700195;9073,700195;8998,799805;9053,299805;9053,299805;137668000;0,017671929;0
23/06/2021;9072,200195;9092,700195;8954,099609;8954,099609;8954,099609;112812200;-1,095735236;-1
24/06/2021;9015,400391;9098,099609;8985,099609;9074,099609;9074,099609;130938500;1,34016825;1
25/06/2021;9101;9107,200195;9034,599609;9095;9095;130343900;0,230330191;0
28/06/2021;9075,5;9083,5;8913,700195;8913,700195;8913,700195;152784500;-1,993400825;-1
29/06/2021;8897,400391;8957,599609;8884,799805;8915,099609;8915,099609;142239100;0,015699586;0
30/06/2021;8892,700195;8903,700195;8765,299805;8821,200195;8821,200195;190176400;-1,053262646;-1
01/07/2021;8862,299805;8957,799805;8862,200195;8932,299805;8932,299805;122723600;1,259461383;1
02/07/2021;8951,700195;8968,099609;8873,599609;8907,599609;8907,599609;115691700;-0,276526724;0
05/07/2021;8900,5;8965,5;8862,400391;8946,400391;8946,400391;100801100;0,435591896;0
06/07/2021;8924,099609;8959,900391;8837,200195;8860,799805;8860,799805;152719800;-0,956815951;-1
07/07/2021;8877,900391;8904,5;8826;8854,5;8854,5;149997700;-0,071097476;0
08/07/2021;8768,099609;8772,900391;8597,799805;8650,099609;8650,099609;201968800;-2,308435157;-1
09/07/2021;8680,799805;8780,700195;8654,5;8776,599609;8776,599609;141622900;1,462410905;1
12/07/2021;8791,900391;8822;8696,799805;8816,700195;8816,700195;103461800;0,456903445;0
